# <Name>
#   ipv4_to_country.csv
#
# <Author>
#   Lukas Puehringer <luk.puehringer@gmail.com>
#
# <Started>
#   May, 2018
#
# <Copyright>
#   See LICENSE for licensing information.
#
# <Purpose>
#   A list of IPv4 addresses per country (one per country).
#
#  This list was created like so:
#
#  ```
#  # Download and unzip database (at your own risk)
#  wget software77.net/geo-ip/?DL=2 -O IpToCountry.csv.zip
#  unzip IpToCountry.csv.zip
#
#  # Remove comments, reserved blocks and columns, condense to one block
#  # per country, and add to this file.
#  cat IpToCountry.csv | grep -v "#" | grep -vi "reserved" \
#   | sort -u -t, -k5 | cut -d, -f1,5 >> ipv4_to_country.csv
# ```
# Header: ip_begin, country_code
"783081472","AD"
"36700160","AE"
"460601344","AF"
"1160921088","AG"
"1757529088","AI"
"521547776","AL"
"88055808","AM"
"692035584","AO"
"417857536","AR"
"1743690752","AS"
"84606976","AT"
"16777216","AU"
"2332032000","AW"
"3118007296","AX"
"84602880","AZ"
"86720512","BA"
"401342464","BB"
"234972160","BD"
"85426176","BE"
"692989952","BF"
"86016000","BG"
"629342208","BH"
"693054464","BI"
"692715520","BJ"
"1076174848","BM"
"736176128","BN"
"755261952","BO"
"2327433216","BQ"
"755237888","BR"
"406011904","BS"
"736459776","BT"
"692727808","BW"
"90488832","BY"
"759620608","BZ"
"386924544","CA"
"692968448","CD"
"693008384","CF"
"692797440","CG"
"83976192","CH"
"692191232","CI"
"3393265664","CK"
"755236864","CL"
"692305920","CM"
"16777472","CN"
"755343360","CO"
"755317760","CR"
"2563637248","CU"
"692748288","CV"
"759667712","CW"
"83961856","CY"
"83965952","CZ"
"44040192","DE"
"700309504","DJ"
"40370176","DK"
"1158441984","DM"
"755304448","DO"
"692957184","DZ"
"755259392","EC"
"86175744","EE"
"689963008","EG"
"3301466112","ER"
"42467328","ES"
"2761996288","ET"
"34603008","EU"
"85407744","FI"
"461078528","FJ"
"1347014656","FK"
"737713152","FM"
"786657280","FO"
"33554432","FR"
"692641792","GA"
"35127296","GB"
"1249203200","GD"
"84549632","GE"
"2160678912","GF"
"778464000","GG"
"691631104","GH"
"93755392","GI"
"772804608","GL"
"692848640","GM"
"692959232","GN"
"1761214464","GP"
"693055488","GQ"
"39059456","GR"
"755332096","GT"
"737171456","GU"
"2588490752","GW"
"2321479680","GY"
"19136512","HK"
"755258368","HN"
"86474752","HR"
"2489745408","HT"
"85721088","HU"
"241604608","ID"
"87912448","IE"
"36962304","IL"
"87969792","IM"
"17170432","IN"
"3391909888","IO"
"83978240","IQ"
"42991616","IR"
"85409792","IS"
"35651584","IT"
"532312064","JE"
"1066352640","JM"
"86867968","JO"
"16781312","JP"
"691625984","KE"
"87623680","KG"
"459297792","KH"
"1729727488","KI"
"2761984000","KM"
"3332882432","KN"
"2939006976","KP"
"17498112","KR"
"533397504","KW"
"398196736","KY"
"38273024","KZ"
"736109568","LA"
"84443136","LB"
"397590528","LC"
"86177792","LI"
"736132096","LK"
"691621888","LR"
"692850688","LS"
"85196800","LT"
"88047616","LU"
"86824960","LV"
"88014848","LY"
"692940800","MA"
"1348362240","MC"
"86026240","MD"
"533512192","ME"
"1248913408","MF"
"692027392","MG"
"1741329408","MH"
"86028288","MK"
"692674560","ML"
"628031488","MM"
"461100032","MN"
"460161024","MO"
"762692608","MP"
"1585240064","MQ"
"696942592","MR"
"3339147776","MS"
"96925696","MT"
"691798016","MU"
"460488704","MV"
"692453376","MW"
"755315712","MX"
"17367040","MY"
"692846592","MZ"
"692043776","NA"
"460980224","NC"
"693007360","NE"
"1730923520","NF"
"691632128","NG"
"755357696","NI"
"84033536","NL"
"43253760","NO"
"455213056","NP"
"736495104","NR"
"832319488","NU"
"234954752","NZ"
"85262336","OM"
"759299584","PA"
"755316736","PE"
"737783808","PF"
"247482368","PG"
"19202048","PH"
"234973184","PK"
"86491136","PL"
"1176764416","PM"
"396509184","PR"
"84617216","PS"
"38797312","PT"
"1730082816","PW"
"769831936","PY"
"520826880","QA"
"701857792","RE"
"84049920","RO"
"85368832","RS"
"37486592","RU"
"692756480","RW"
"39321600","SA"
"1728206848","SB"
"635731968","SC"
"692256768","SD"
"37748736","SE"
"18907136","SG"
"86018048","SI"
"95563776","SK"
"528900096","SL"
"532750336","SM"
"693239808","SN"
"692996096","SO"
"2826523648","SR"
"693049344","SS"
"2588412928","ST"
"755305472","SV"
"2208388096","SX"
"83886080","SY"
"692971520","SZ"
"1107243008","TC"
"692723712","TD"
"693012480","TG"
"16809984","TH"
"627218432","TJ"
"459282432","TK"
"738080768","TL"
"1583788032","TM"
"702545920","TN"
"738169856","TO"
"84037632","TR"
"770352128","TT"
"3389153280","TV"
"19005440","TW"
"691732480","TZ"
"83951616","UA"
"692822016","UG"
"50331648","US"
"755431424","UY"
"522721280","UZ"
"774162432","VA"
"1759188992","VC"
"770059264","VE"
"778462208","VG"
"1119428608","VI"
"20185088","VN"
"737184768","VU"
"461225984","WF"
"737256448","WS"
"90480640","YE"
"703755264","YT"
"687865856","ZA"
"691994624","ZM"
"691617792","ZW"
